丅		xia4	/old variant of 下[xia4]/
丆		xx5	/one of the characters used in kwukyel (phonetic "myeon"), an ancient Korean writing system/
万		Mo4	/see 万俟[Mo4 qi2]/
丈		zhang4	/measure of length, ten Chinese feet (3.3 m)/to measure/husband/polite appellation for an older male/
三		San1	/surname San/
三		san1	/three/3/
上		shang3	/see 上聲|上声[shang3 sheng1]/
上		shang4	/on top/upon/above/upper/previous/first (of multiple parts)/to climb/to get onto/to go up/to attend (class or university)/
下		xia4	/down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down/to arrive at (a decision, conclusion etc)/measure word to show the frequency of an action/
丌		Ji1	/surname Ji/
丌		ji1	/"pedestal" component in Chinese characters/
丌		qi2	/archaic variant of 其[qi2]/
不		bu4	/(negative prefix)/not/no/
丏		mian3	/hidden from view/barrier to ward off arrows/
丐		gai4	/to beg for alms/beggar/
丑		Chou3	/surname Chou/
丑		chou3	/clown/2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox/ancient Chinese compass point: 30°/
丒		chou3	/variant of 醜|丑[chou3]/
且		qie3	/and/moreover/yet/for the time being/to be about to/both (... and...)/
丕		pi1	/grand/
世		Shi4	/surname Shi/
世		shi4	/life/age/generation/era/world/lifetime/epoch/descendant/noble/
丗		shi4	/archaic variant of 世[shi4]/
丘		Qiu1	/surname Qiu/
丘		qiu1	/mound/hillock/grave/classifier for fields/
丙		bing3	/third of the ten Heavenly Stems 十天干[shi2 tian1 gan1]/third in order/letter "C" or Roman "III" in list "A, B, C", or "I, II, III" etc/ancient Chinese compass point: 165°/propyl/
丞		cheng2	/deputy/
丟		diu1	/to lose/to put aside/to throw/
丠		qiu1	/old variant of 丘[qiu1]/
両		liang3	/Japanese variant of 兩|两/
丣		you3	/old variant of 酉[you3]/
並		bing4	/and/furthermore/also/together with/(not) at all/simultaneously/to combine/to join/to merge/
丨		gun3	/radical in Chinese characters (Kangxi radical 2)/
丨		shu4	/see 豎筆|竖笔[shu4 bi3]/
丩		jiu1	/archaic variant of 糾|纠[jiu1]/
丫		ya1	/fork/branch/bifurcation/girl/
中		Zhong1	/China/Chinese/surname Zhong/
中		zhong1	/within/among/in/middle/center/while (doing sth)/during/(dialect) OK/all right/
中		zhong4	/to hit (the mark)/to be hit by/to suffer/to win (a prize, a lottery)/
丮		ji3	/to catch/
丰		feng1	/luxuriant/buxom/variant of 豐|丰[feng1]/variant of 風|风[feng1]/appearance/charm/
丱		guan4	/two tufts of hair/young/underage/
丱		kuang4	/archaic variant of 礦|矿[kuang4]/
串		chuan4	/to string together/to skewer/to connect wrongly/to gang up/to rove/string/bunch/skewer/classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of/to make a swift or abrupt linear movement (like a bead on an abacus)/to move across/
丳		chan3	/skewer/
丵		zhuo2	/thick grass/"bush" component in Chinese characters/
丶		zhu3	/"dot" radical in Chinese characters (Kangxi radical 3)/see also 點|点[dian3]/
丷		ba1	/"eight" component in Chinese characters/archaic variant of 八[ba1]/
